Genome ,Coverage,Genes
Chicago,1,TPANIC_RS03175
Chicago,1,TPANIC_RS03245
Chicago,1,TPANIC_RS03475
Chicago,1,TPANIC_RS03635
Chicago,1,TPANIC_RS03715
Chicago,1,TPANIC_RS03720
Chicago,1,TPANIC_RS03800
Chicago,1,TPANIC_RS03805
Chicago,1,TPANIC_RS03940
Chicago,1,TPANIC_RS04050
Chicago,1,TPANIC_RS04235
Chicago,1,TPANIC_RS04240
Chicago,1,TPANIC_RS04245
Chicago,1,TPANIC_RS04270
Chicago,0.9881579,TPANIC_RS04420
Chicago,1,TPANIC_RS04710
Chicago,1,TPANIC_RS04715
Chicago,1,TPANIC_RS04720
Chicago,1,TPANIC_RS04760
Chicago,1,TPANIC_RS04765
Chicago,1,TPANIC_RS04770
Chicago,1,TPANIC_RS04775
Chicago,1,TPANIC_RS04780
Chicago,1,TPANIC_RS04995
Chicago,1,TPANIC_RS05015
Chicago,1,TPANIC_RS05095
Chicago,1,TPANIC_RS05095-377bp-del
Chicago,1,TPANIC_RS05130
Cuniculi,0.9391304,TPANIC_RS05525
Cuniculi,0.9306358,TPANIC_RS05530
Cuniculi,1,TPANIC_RS05535
Cuniculi,0.9969727,TPANIC_RS00045
Cuniculi,0.9959083,TPANIC_RS00200
Cuniculi,1,TPANIC_RS00450
Cuniculi,1,TPANIC_RS00560
Cuniculi,0.5857461,TPANIC_RS00590
Cuniculi,1,TPANIC_RS00635
Cuniculi,0.5929844,TPANIC_RS00665
Cuniculi,0.6347402,TPANIC_RS00675
Cuniculi,0.2159292,TPANIC_RS00680
Cuniculi,0.0827169,TPANIC_RS00695
Cuniculi,1,TPANIC_RS00795
Cuniculi,1,TPANIC_RS00830
Cuniculi,1,TPANIC_RS00870
Cuniculi,1,TPANIC_RS01295
Cuniculi,1,TPANIC_RS01455
Cuniculi,1,TPANIC_RS01480
Cuniculi,0.5843531,TPANIC_RS01545
Cuniculi,0.8467337,TPANIC_RS01555 
Cuniculi,0.8352423,TPANIC_RS01560
Cuniculi,0.9411063,TPANIC_RS01590
Cuniculi,1,TPANIC_RS01595
Cuniculi,0.9184123,TPANIC_RS02115
Cuniculi,1,TPANIC_RS02120
Cuniculi,1,TPANIC_RS02210
Cuniculi,0.5918368,TPANIC_RS02260
Cuniculi,0.9900908,TPANIC_RS02345
Cuniculi,0.9061884,TPANIC_RS02370
Cuniculi,1,TPANIC_RS02405
Cuniculi,0.9757983,TPANIC_RS02520
Cuniculi,0.7354295,TPANIC_RS02695
Cuniculi,1,TPANIC_RS02820
Cuniculi,1,TPANIC_RS02830
Cuniculi,1,TPANIC_RS03015
Cuniculi,0.1362275,TPANIC_RS03060
Cuniculi,0.7271733,TPANIC_RS03065
Cuniculi,0.710457,TPANIC_RS03070
Cuniculi,1,TPANIC_RS03170
Cuniculi,1,TPANIC_RS03175
Cuniculi,1,TPANIC_RS03245
Cuniculi,1,TPANIC_RS03475
Cuniculi,0.8998483,TPANIC_RS03635
Cuniculi,1,TPANIC_RS03715
Cuniculi,1,TPANIC_RS03720
Cuniculi,1,TPANIC_RS03800
Cuniculi,1,TPANIC_RS03805
Cuniculi,1,TPANIC_RS03940
Cuniculi,1,TPANIC_RS04050
Cuniculi,0.9425676,TPANIC_RS04235
Cuniculi,0.8679085,TPANIC_RS04240
Cuniculi,0.9177898,TPANIC_RS04245
Cuniculi,0.9173037,TPANIC_RS04270
Cuniculi,0.5592105,TPANIC_RS04420
Cuniculi,1,TPANIC_RS04710
Cuniculi,1,TPANIC_RS04715
Cuniculi,1,TPANIC_RS04720
Cuniculi,0.9944921,TPANIC_RS04760
Cuniculi,0.9690921,TPANIC_RS04765
Cuniculi,0.985115,TPANIC_RS04770
Cuniculi,0.9580686,TPANIC_RS04775
Cuniculi,1,TPANIC_RS04780
Cuniculi,1,TPANIC_RS04995
Cuniculi,1,TPANIC_RS05015
Cuniculi,0.7566977,TPANIC_RS05095
Cuniculi,0.9612903,TPANIC_RS05095-377bp-del
Cuniculi,1,TPANIC_RS05130
CW56,1,TPANIC_RS05525
CW56,1,TPANIC_RS05530
CW56,1,TPANIC_RS05535
CW56,1,TPANIC_RS00045
CW56,1,TPANIC_RS00200
CW56,1,TPANIC_RS00450
CW56,1,TPANIC_RS00560
CW56,1,TPANIC_RS00590
CW56,1,TPANIC_RS00635
CW56,1,TPANIC_RS00665
CW56,1,TPANIC_RS00675
CW56,1,TPANIC_RS00680
CW56,0.8359112,TPANIC_RS00695
CW56,1,TPANIC_RS00795
CW56,1,TPANIC_RS00830
CW56,1,TPANIC_RS00870
CW56,1,TPANIC_RS01295
CW56,1,TPANIC_RS01455
CW56,1,TPANIC_RS01480
CW56,0.9991259,TPANIC_RS01545
CW56,1,TPANIC_RS01555 
CW56,0.99163,TPANIC_RS01560
CW56,1,TPANIC_RS01590
CW56,1,TPANIC_RS01595
CW56,1,TPANIC_RS02115
CW56,1,TPANIC_RS02120
CW56,1,TPANIC_RS02210
CW56,1,TPANIC_RS02260
CW56,1,TPANIC_RS02345
CW56,1,TPANIC_RS02370
CW56,1,TPANIC_RS02405
CW56,1,TPANIC_RS02520
CW56,0.9946319,TPANIC_RS02695
CW56,1,TPANIC_RS02820
CW56,1,TPANIC_RS02830
CW56,1,TPANIC_RS03015
CW56,1,TPANIC_RS03060
CW56,1,TPANIC_RS03065
CW56,0.9929701,TPANIC_RS03070
CW56,1,TPANIC_RS03170
CW56,1,TPANIC_RS03175
CW56,1,TPANIC_RS03245
CW56,1,TPANIC_RS03475
CW56,1,TPANIC_RS03635
CW56,1,TPANIC_RS03715
CW56,1,TPANIC_RS03720
CW56,1,TPANIC_RS03800
CW56,1,TPANIC_RS03805
CW56,1,TPANIC_RS03940
CW56,1,TPANIC_RS04050
CW56,1,TPANIC_RS04235
CW56,1,TPANIC_RS04240
CW56,1,TPANIC_RS04245
CW56,1,TPANIC_RS04270
CW56,0.7947369,TPANIC_RS04420
CW56,1,TPANIC_RS04710
CW56,1,TPANIC_RS04715
CW56,1,TPANIC_RS04720
CW56,1,TPANIC_RS04760
CW56,0.9877656,TPANIC_RS04765
CW56,1,TPANIC_RS04770
CW56,1,TPANIC_RS04775
CW56,1,TPANIC_RS04780
CW56,1,TPANIC_RS04995
CW56,1,TPANIC_RS05015
CW56,0.9743029,TPANIC_RS05095
CW56,1,TPANIC_RS05095-377bp-del
CW56,1,TPANIC_RS05130
Fribourg-Blanc,1,TPANIC_RS05525
Fribourg-Blanc,1,TPANIC_RS05530
Fribourg-Blanc,1,TPANIC_RS05535
Fribourg-Blanc,1,TPANIC_RS00045
Fribourg-Blanc,0.9897709,TPANIC_RS00200
Fribourg-Blanc,1,TPANIC_RS00450
Fribourg-Blanc,1,TPANIC_RS00560
Fribourg-Blanc,0.8864142,TPANIC_RS00590
Fribourg-Blanc,1,TPANIC_RS00635
Fribourg-Blanc,0.8964365,TPANIC_RS00665
Fribourg-Blanc,0.9602273,TPANIC_RS00675
Fribourg-Blanc,1,TPANIC_RS00680
Fribourg-Blanc,0.7289845,TPANIC_RS00695
Fribourg-Blanc,1,TPANIC_RS00795
Fribourg-Blanc,1,TPANIC_RS00830
Fribourg-Blanc,1,TPANIC_RS00870
Fribourg-Blanc,1,TPANIC_RS01295
Fribourg-Blanc,1,TPANIC_RS01455
Fribourg-Blanc,1,TPANIC_RS01480
Fribourg-Blanc,1,TPANIC_RS01545
Fribourg-Blanc,0.9782245,TPANIC_RS01555 
Fribourg-Blanc,1,TPANIC_RS01560
Fribourg-Blanc,0.994429,TPANIC_RS01590
Fribourg-Blanc,1,TPANIC_RS01595
Fribourg-Blanc,0.8925028,TPANIC_RS02115
Fribourg-Blanc,1,TPANIC_RS02120
Fribourg-Blanc,1,TPANIC_RS02210
Fribourg-Blanc,0.8916798,TPANIC_RS02260
Fribourg-Blanc,0.9793559,TPANIC_RS02345
Fribourg-Blanc,0.978715,TPANIC_RS02370
Fribourg-Blanc,1,TPANIC_RS02405
Fribourg-Blanc,1,TPANIC_RS02520
Fribourg-Blanc,0.9256135,TPANIC_RS02695
Fribourg-Blanc,1,TPANIC_RS02820
Fribourg-Blanc,1,TPANIC_RS02830
Fribourg-Blanc,1,TPANIC_RS03015
Fribourg-Blanc,0.754491,TPANIC_RS03060
Fribourg-Blanc,0.9677419,TPANIC_RS03065
Fribourg-Blanc,0.7746046,TPANIC_RS03070
Fribourg-Blanc,1,TPANIC_RS03170
Fribourg-Blanc,1,TPANIC_RS03175
Fribourg-Blanc,1,TPANIC_RS03245
Fribourg-Blanc,1,TPANIC_RS03475
Fribourg-Blanc,0.9620637,TPANIC_RS03635
Fribourg-Blanc,1,TPANIC_RS03715
Fribourg-Blanc,1,TPANIC_RS03720
Fribourg-Blanc,1,TPANIC_RS03800
Fribourg-Blanc,1,TPANIC_RS03805
Fribourg-Blanc,1,TPANIC_RS03940
Fribourg-Blanc,1,TPANIC_RS04050
Fribourg-Blanc,1,TPANIC_RS04235
Fribourg-Blanc,0.9043184,TPANIC_RS04240
Fribourg-Blanc,0.972372,TPANIC_RS04245
Fribourg-Blanc,0.9798471,TPANIC_RS04270
Fribourg-Blanc,0.8059211,TPANIC_RS04420
Fribourg-Blanc,1,TPANIC_RS04710
Fribourg-Blanc,1,TPANIC_RS04715
Fribourg-Blanc,1,TPANIC_RS04720
Fribourg-Blanc,1,TPANIC_RS04760
Fribourg-Blanc,0.9761751,TPANIC_RS04765
Fribourg-Blanc,0.9986468,TPANIC_RS04770
Fribourg-Blanc,1,TPANIC_RS04775
Fribourg-Blanc,1,TPANIC_RS04780
Fribourg-Blanc,1,TPANIC_RS04995
Fribourg-Blanc,1,TPANIC_RS05015
Fribourg-Blanc,0.8430837,TPANIC_RS05095
Fribourg-Blanc,0,TPANIC_RS05095-377bp-del
Fribourg-Blanc,1,TPANIC_RS05130
GAP009,1,TPANIC_RS05525
GAP009,1,TPANIC_RS05530
GAP009,1,TPANIC_RS05535
GAP009,1,TPANIC_RS00045
GAP009,1,TPANIC_RS00200
GAP009,1,TPANIC_RS00450
GAP009,1,TPANIC_RS00560
GAP009,0.9905345,TPANIC_RS00590
GAP009,1,TPANIC_RS00635
GAP009,0.9905345,TPANIC_RS00665
GAP009,0.9691558,TPANIC_RS00675
GAP009,0.9513274,TPANIC_RS00680
GAP009,0.926698,TPANIC_RS00695
GAP009,1,TPANIC_RS00795
GAP009,1,TPANIC_RS00830
GAP009,1,TPANIC_RS00870
GAP009,1,TPANIC_RS01295
GAP009,1,TPANIC_RS01455
GAP009,1,TPANIC_RS01480
GAP009,0.9851398,TPANIC_RS01545
GAP009,0.9497488,TPANIC_RS01555 
GAP009,0.7797357,TPANIC_RS01560
GAP009,0.9896538,TPANIC_RS01590
GAP009,1,TPANIC_RS01595
GAP009,0.9531422,TPANIC_RS02115
GAP009,1,TPANIC_RS02120
GAP009,1,TPANIC_RS02210
GAP009,0.8524333,TPANIC_RS02260
GAP009,1,TPANIC_RS02345
GAP009,0.9893575,TPANIC_RS02370
GAP009,1,TPANIC_RS02405
GAP009,1,TPANIC_RS02520
GAP009,0.9516871,TPANIC_RS02695
GAP009,1,TPANIC_RS02820
GAP009,1,TPANIC_RS02830
GAP009,1,TPANIC_RS03015
GAP009,0.8862275,TPANIC_RS03060
GAP009,0.9721159,TPANIC_RS03065
GAP009,0.991652,TPANIC_RS03070
GAP009,1,TPANIC_RS03170
GAP009,1,TPANIC_RS03175
GAP009,1,TPANIC_RS03245
GAP009,1,TPANIC_RS03475
GAP009,0.9711685,TPANIC_RS03635
GAP009,1,TPANIC_RS03715
GAP009,1,TPANIC_RS03720
GAP009,1,TPANIC_RS03800
GAP009,1,TPANIC_RS03805
GAP009,1,TPANIC_RS03940
GAP009,1,TPANIC_RS04050
GAP009,0.8716216,TPANIC_RS04235
GAP009,0.8611346,TPANIC_RS04240
GAP009,0.972372,TPANIC_RS04245
GAP009,0.9638638,TPANIC_RS04270
GAP009,0.9197369,TPANIC_RS04420
GAP009,1,TPANIC_RS04710
GAP009,1,TPANIC_RS04715
GAP009,1,TPANIC_RS04720
GAP009,0.9736842,TPANIC_RS04760
GAP009,0.9774629,TPANIC_RS04765
GAP009,0.9749662,TPANIC_RS04770
GAP009,1,TPANIC_RS04775
GAP009,1,TPANIC_RS04780
GAP009,1,TPANIC_RS04995
GAP009,1,TPANIC_RS05015
GAP009,0.9945325,TPANIC_RS05095
GAP009,1,TPANIC_RS05095-377bp-del
GAP009,1,TPANIC_RS05130
Gauthier,1,TPANIC_RS05525
Gauthier,1,TPANIC_RS05530
Gauthier,1,TPANIC_RS05535
Gauthier,1,TPANIC_RS00045
Gauthier,0.9995908,TPANIC_RS00200
Gauthier,1,TPANIC_RS00450
Gauthier,1,TPANIC_RS00560
Gauthier,0.9465479,TPANIC_RS00590
Gauthier,1,TPANIC_RS00635
Gauthier,0.9387528,TPANIC_RS00665
Gauthier,0.9618506,TPANIC_RS00675
Gauthier,1,TPANIC_RS00680
Gauthier,0.7747142,TPANIC_RS00695
Gauthier,1,TPANIC_RS00795
Gauthier,1,TPANIC_RS00830
Gauthier,1,TPANIC_RS00870
Gauthier,1,TPANIC_RS01295
Gauthier,1,TPANIC_RS01455
Gauthier,1,TPANIC_RS01480
Gauthier,0.9947553,TPANIC_RS01545
Gauthier,0.9706868,TPANIC_RS01555 
Gauthier,1,TPANIC_RS01560
Gauthier,0.9956228,TPANIC_RS01590
Gauthier,1,TPANIC_RS01595
Gauthier,0.8825799,TPANIC_RS02115
Gauthier,1,TPANIC_RS02120
Gauthier,1,TPANIC_RS02210
Gauthier,0.9199372,TPANIC_RS02260
Gauthier,0.9867878,TPANIC_RS02345
Gauthier,0.9767442,TPANIC_RS02370
Gauthier,1,TPANIC_RS02405
Gauthier,1,TPANIC_RS02520
Gauthier,0.9493865,TPANIC_RS02695
Gauthier,1,TPANIC_RS02820
Gauthier,1,TPANIC_RS02830
Gauthier,1,TPANIC_RS03015
Gauthier,0.745509,TPANIC_RS03060
Gauthier,0.9622745,TPANIC_RS03065
Gauthier,0.7798769,TPANIC_RS03070
Gauthier,1,TPANIC_RS03170
Gauthier,1,TPANIC_RS03175
Gauthier,1,TPANIC_RS03245
Gauthier,1,TPANIC_RS03475
Gauthier,0.9772382,TPANIC_RS03635
Gauthier,1,TPANIC_RS03715
Gauthier,1,TPANIC_RS03720
Gauthier,1,TPANIC_RS03800
Gauthier,1,TPANIC_RS03805
Gauthier,1,TPANIC_RS03940
Gauthier,1,TPANIC_RS04050
Gauthier,1,TPANIC_RS04235
Gauthier,0.8331922,TPANIC_RS04240
Gauthier,0.9919137,TPANIC_RS04245
Gauthier,0.9742877,TPANIC_RS04270
Gauthier,0.8026316,TPANIC_RS04420
Gauthier,1,TPANIC_RS04710
Gauthier,1,TPANIC_RS04715
Gauthier,1,TPANIC_RS04720
Gauthier,1,TPANIC_RS04760
Gauthier,0.9839021,TPANIC_RS04765
Gauthier,1,TPANIC_RS04770
Gauthier,1,TPANIC_RS04775
Gauthier,1,TPANIC_RS04780
Gauthier,1,TPANIC_RS04995
Gauthier,1,TPANIC_RS05015
Gauthier,0.8321487,TPANIC_RS05095
Gauthier,0,TPANIC_RS05095-377bp-del
Gauthier,1,TPANIC_RS05130
GHA-1,1,TPANIC_RS05525
GHA-1,1,TPANIC_RS05530
GHA-1,1,TPANIC_RS05535
GHA-1,1,TPANIC_RS00045
GHA-1,1,TPANIC_RS00200
GHA-1,1,TPANIC_RS00450
GHA-1,1,TPANIC_RS00560
GHA-1,0.9615813,TPANIC_RS00590
GHA-1,1,TPANIC_RS00635
GHA-1,0.9493318,TPANIC_RS00665
GHA-1,0.974026,TPANIC_RS00675
GHA-1,0.9743363,TPANIC_RS00680
GHA-1,0.6812374,TPANIC_RS00695
GHA-1,1,TPANIC_RS00795
GHA-1,1,TPANIC_RS00830
GHA-1,1,TPANIC_RS00870
GHA-1,1,TPANIC_RS01295
GHA-1,1,TPANIC_RS01455
GHA-1,1,TPANIC_RS01480
GHA-1,1,TPANIC_RS01545
GHA-1,0.9865997,TPANIC_RS01555 
GHA-1,1,TPANIC_RS01560
GHA-1,1,TPANIC_RS01590
GHA-1,1,TPANIC_RS01595
GHA-1,0.9310915,TPANIC_RS02115
GHA-1,1,TPANIC_RS02120
GHA-1,1,TPANIC_RS02210
GHA-1,0.8492936,TPANIC_RS02260
GHA-1,0.9777044,TPANIC_RS02345
GHA-1,0.9767442,TPANIC_RS02370
GHA-1,1,TPANIC_RS02405
GHA-1,1,TPANIC_RS02520
GHA-1,0.9501534,TPANIC_RS02695
GHA-1,1,TPANIC_RS02820
GHA-1,1,TPANIC_RS02830
GHA-1,1,TPANIC_RS03015
GHA-1,0.7215569,TPANIC_RS03060
GHA-1,0.9896118,TPANIC_RS03065
GHA-1,0.7785589,TPANIC_RS03070
GHA-1,0.9979317,TPANIC_RS03170
GHA-1,1,TPANIC_RS03175
GHA-1,1,TPANIC_RS03245
GHA-1,1,TPANIC_RS03475
GHA-1,0.9044006,TPANIC_RS03635
GHA-1,1,TPANIC_RS03715
GHA-1,1,TPANIC_RS03720
GHA-1,0.9469624,TPANIC_RS03800
GHA-1,0.9938588,TPANIC_RS03805
GHA-1,0.9926471,TPANIC_RS03940
GHA-1,1,TPANIC_RS04050
GHA-1,0.9839527,TPANIC_RS04235
GHA-1,0.8348857,TPANIC_RS04240
GHA-1,0.9292453,TPANIC_RS04245
GHA-1,0.9610841,TPANIC_RS04270
GHA-1,0.8552632,TPANIC_RS04420
GHA-1,1,TPANIC_RS04710
GHA-1,1,TPANIC_RS04715
GHA-1,1,TPANIC_RS04720
GHA-1,0.9216647,TPANIC_RS04760
GHA-1,0.9420477,TPANIC_RS04765
GHA-1,0.9458728,TPANIC_RS04770
GHA-1,1,TPANIC_RS04775
GHA-1,1,TPANIC_RS04780
GHA-1,1,TPANIC_RS04995
GHA-1,1,TPANIC_RS05015
GHA-1,0.8441771,TPANIC_RS05095
GHA-1,0,TPANIC_RS05095-377bp-del
GHA-1,1,TPANIC_RS05130
Ghana-051,1,TPANIC_RS05525
Ghana-051,1,TPANIC_RS05530
Ghana-051,1,TPANIC_RS05535
Ghana-051,1,TPANIC_RS00045
Ghana-051,1,TPANIC_RS00200
Ghana-051,1,TPANIC_RS00450
Ghana-051,1,TPANIC_RS00560
Ghana-051,0.9248329,TPANIC_RS00590
Ghana-051,1,TPANIC_RS00635
Ghana-051,0.9292873,TPANIC_RS00665
Ghana-051,0.9577922,TPANIC_RS00675
Ghana-051,1,TPANIC_RS00680
Ghana-051,0.7209146,TPANIC_RS00695
Ghana-051,1,TPANIC_RS00795
Ghana-051,1,TPANIC_RS00830
Ghana-051,1,TPANIC_RS00870
Ghana-051,1,TPANIC_RS01295
Ghana-051,1,TPANIC_RS01455
Ghana-051,1,TPANIC_RS01480
Ghana-051,1,TPANIC_RS01545
Ghana-051,0.9556114,TPANIC_RS01555 
Ghana-051,1,TPANIC_RS01560
Ghana-051,0.9908476,TPANIC_RS01590
Ghana-051,1,TPANIC_RS01595
Ghana-051,0.8809261,TPANIC_RS02115
Ghana-051,1,TPANIC_RS02120
Ghana-051,1,TPANIC_RS02210
Ghana-051,0.8908948,TPANIC_RS02260
Ghana-051,0.9793559,TPANIC_RS02345
Ghana-051,0.9724084,TPANIC_RS02370
Ghana-051,1,TPANIC_RS02405
Ghana-051,1,TPANIC_RS02520
Ghana-051,0.9003068,TPANIC_RS02695
Ghana-051,1,TPANIC_RS02820
Ghana-051,1,TPANIC_RS02830
Ghana-051,1,TPANIC_RS03015
Ghana-051,0.751497,TPANIC_RS03060
Ghana-051,0.965555,TPANIC_RS03065
Ghana-051,0.7776802,TPANIC_RS03070
Ghana-051,1,TPANIC_RS03170
Ghana-051,1,TPANIC_RS03175
Ghana-051,1,TPANIC_RS03245
Ghana-051,1,TPANIC_RS03475
Ghana-051,0.9620637,TPANIC_RS03635
Ghana-051,1,TPANIC_RS03715
Ghana-051,1,TPANIC_RS03720
Ghana-051,1,TPANIC_RS03800
Ghana-051,1,TPANIC_RS03805
Ghana-051,1,TPANIC_RS03940
Ghana-051,1,TPANIC_RS04050
Ghana-051,1,TPANIC_RS04235
Ghana-051,0.9034716,TPANIC_RS04240
Ghana-051,0.9831536,TPANIC_RS04245
Ghana-051,0.9805421,TPANIC_RS04270
Ghana-051,0.6934211,TPANIC_RS04420
Ghana-051,1,TPANIC_RS04710
Ghana-051,1,TPANIC_RS04715
Ghana-051,1,TPANIC_RS04720
Ghana-051,1,TPANIC_RS04760
Ghana-051,0.9967804,TPANIC_RS04765
Ghana-051,1,TPANIC_RS04770
Ghana-051,1,TPANIC_RS04775
Ghana-051,1,TPANIC_RS04780
Ghana-051,1,TPANIC_RS04995
Ghana-051,1,TPANIC_RS05015
Ghana-051,0.8436304,TPANIC_RS05095
Ghana-051,0,TPANIC_RS05095-377bp-del
Ghana-051,1,TPANIC_RS05130
HATO,1,TPANIC_RS05525
HATO,1,TPANIC_RS05530
HATO,1,TPANIC_RS05535
HATO,1,TPANIC_RS00045
HATO,1,TPANIC_RS00200
HATO,1,TPANIC_RS00450
HATO,1,TPANIC_RS00560
HATO,0.9181514,TPANIC_RS00590
HATO,1,TPANIC_RS00635
HATO,0.8953229,TPANIC_RS00665
HATO,0.9301948,TPANIC_RS00675
HATO,0.9548672,TPANIC_RS00680
HATO,0.2252858,TPANIC_RS00695
HATO,1,TPANIC_RS00795
HATO,1,TPANIC_RS00830
HATO,1,TPANIC_RS00870
HATO,1,TPANIC_RS01295
HATO,1,TPANIC_RS01455
HATO,1,TPANIC_RS01480
HATO,1,TPANIC_RS01545
HATO,0.7914573,TPANIC_RS01555 
HATO,1,TPANIC_RS01560
HATO,0.9641863,TPANIC_RS01590
HATO,1,TPANIC_RS01595
HATO,0.9470783,TPANIC_RS02115
HATO,1,TPANIC_RS02120
HATO,1,TPANIC_RS02210
HATO,0.4073783,TPANIC_RS02260
HATO,0.9000826,TPANIC_RS02345
HATO,0.9700434,TPANIC_RS02370
HATO,1,TPANIC_RS02405
HATO,1,TPANIC_RS02520
HATO,0.988497,TPANIC_RS02695
HATO,1,TPANIC_RS02820
HATO,1,TPANIC_RS02830
HATO,1,TPANIC_RS03015
HATO,0.7784431,TPANIC_RS03060
HATO,0.8775287,TPANIC_RS03065
HATO,0.7618629,TPANIC_RS03070
HATO,1,TPANIC_RS03170
HATO,1,TPANIC_RS03175
HATO,1,TPANIC_RS03245
HATO,1,TPANIC_RS03475
HATO,0.9984825,TPANIC_RS03635
HATO,1,TPANIC_RS03715
HATO,1,TPANIC_RS03720
HATO,1,TPANIC_RS03800
HATO,1,TPANIC_RS03805
HATO,1,TPANIC_RS03940
HATO,1,TPANIC_RS04050
HATO,1,TPANIC_RS04235
HATO,0.9170195,TPANIC_RS04240
HATO,1,TPANIC_RS04245
HATO,0.9965253,TPANIC_RS04270
HATO,0.6282895,TPANIC_RS04420
HATO,1,TPANIC_RS04710
HATO,1,TPANIC_RS04715
HATO,1,TPANIC_RS04720
HATO,1,TPANIC_RS04760
HATO,1,TPANIC_RS04765
HATO,1,TPANIC_RS04770
HATO,1,TPANIC_RS04775
HATO,1,TPANIC_RS04780
HATO,1,TPANIC_RS04995
HATO,1,TPANIC_RS05015
HATO,0.8343357,TPANIC_RS05095
HATO,0,TPANIC_RS05095-377bp-del
HATO,1,TPANIC_RS05130
IND1,1,TPANIC_RS05525
IND1,1,TPANIC_RS05530
IND1,1,TPANIC_RS05535
IND1,1,TPANIC_RS00045
IND1,1,TPANIC_RS00200
IND1,1,TPANIC_RS00450
IND1,1,TPANIC_RS00560
IND1,0.9899777,TPANIC_RS00590
IND1,1,TPANIC_RS00635
IND1,0.9922049,TPANIC_RS00665
IND1,0.9967533,TPANIC_RS00675
IND1,1,TPANIC_RS00680
IND1,0.7921991,TPANIC_RS00695
IND1,1,TPANIC_RS00795
IND1,1,TPANIC_RS00830
IND1,1,TPANIC_RS00870
IND1,1,TPANIC_RS01295
IND1,1,TPANIC_RS01455
IND1,1,TPANIC_RS01480
IND1,1,TPANIC_RS01545
IND1,0.9849246,TPANIC_RS01555 
IND1,1,TPANIC_RS01560
IND1,1,TPANIC_RS01590
IND1,1,TPANIC_RS01595
IND1,0.9966924,TPANIC_RS02115
IND1,1,TPANIC_RS02120
IND1,1,TPANIC_RS02210
IND1,0.9905809,TPANIC_RS02260
IND1,0.9785302,TPANIC_RS02345
IND1,0.9558533,TPANIC_RS02370
IND1,1,TPANIC_RS02405
IND1,1,TPANIC_RS02520
IND1,0.9815951,TPANIC_RS02695
IND1,1,TPANIC_RS02820
IND1,1,TPANIC_RS02830
IND1,1,TPANIC_RS03015
IND1,0.7589821,TPANIC_RS03060
IND1,0.9907053,TPANIC_RS03065
IND1,0.7838313,TPANIC_RS03070
IND1,1,TPANIC_RS03170
IND1,1,TPANIC_RS03175
IND1,1,TPANIC_RS03245
IND1,1,TPANIC_RS03475
IND1,0.9802731,TPANIC_RS03635
IND1,1,TPANIC_RS03715
IND1,1,TPANIC_RS03720
IND1,1,TPANIC_RS03800
IND1,1,TPANIC_RS03805
IND1,1,TPANIC_RS03940
IND1,1,TPANIC_RS04050
IND1,1,TPANIC_RS04235
IND1,0.9856054,TPANIC_RS04240
IND1,0.9939353,TPANIC_RS04245
IND1,0.9951355,TPANIC_RS04270
IND1,0.8947368,TPANIC_RS04420
IND1,1,TPANIC_RS04710
IND1,1,TPANIC_RS04715
IND1,1,TPANIC_RS04720
IND1,1,TPANIC_RS04760
IND1,0.9967804,TPANIC_RS04765
IND1,1,TPANIC_RS04770
IND1,1,TPANIC_RS04775
IND1,1,TPANIC_RS04780
IND1,1,TPANIC_RS04995
IND1,1,TPANIC_RS05015
IND1,0.8430837,TPANIC_RS05095
IND1,0,TPANIC_RS05095-377bp-del
IND1,1,TPANIC_RS05130
Iraq-B,1,TPANIC_RS05525
Iraq-B,1,TPANIC_RS05530
Iraq-B,1,TPANIC_RS05535
Iraq-B,1,TPANIC_RS00045
Iraq-B,1,TPANIC_RS00200
Iraq-B,1,TPANIC_RS00450
Iraq-B,1,TPANIC_RS00560
Iraq-B,0.9621381,TPANIC_RS00590
Iraq-B,1,TPANIC_RS00635
Iraq-B,0.9565701,TPANIC_RS00665
Iraq-B,0.9561688,TPANIC_RS00675
Iraq-B,1,TPANIC_RS00680
Iraq-B,0.7942165,TPANIC_RS00695
Iraq-B,1,TPANIC_RS00795
Iraq-B,1,TPANIC_RS00830
Iraq-B,1,TPANIC_RS00870
Iraq-B,1,TPANIC_RS01295
Iraq-B,0.9880287,TPANIC_RS01455
Iraq-B,1,TPANIC_RS01480
Iraq-B,1,TPANIC_RS01545
Iraq-B,0.9221106,TPANIC_RS01555 
Iraq-B,0.9938326,TPANIC_RS01560
Iraq-B,0.9801034,TPANIC_RS01590
Iraq-B,0.988417,TPANIC_RS01595
Iraq-B,0.9068357,TPANIC_RS02115
Iraq-B,1,TPANIC_RS02120
Iraq-B,1,TPANIC_RS02210
Iraq-B,0.83281,TPANIC_RS02260
Iraq-B,0.9388935,TPANIC_RS02345
Iraq-B,0.9921167,TPANIC_RS02370
Iraq-B,1,TPANIC_RS02405
Iraq-B,1,TPANIC_RS02520
Iraq-B,0.9279141,TPANIC_RS02695
Iraq-B,1,TPANIC_RS02820
Iraq-B,1,TPANIC_RS02830
Iraq-B,1,TPANIC_RS03015
Iraq-B,0.7290419,TPANIC_RS03060
Iraq-B,0.95462,TPANIC_RS03065
Iraq-B,0.775044,TPANIC_RS03070
Iraq-B,1,TPANIC_RS03170
Iraq-B,1,TPANIC_RS03175
Iraq-B,1,TPANIC_RS03245
Iraq-B,1,TPANIC_RS03475
Iraq-B,0.9484067,TPANIC_RS03635
Iraq-B,1,TPANIC_RS03715
